questions,model_answer,student_answer,teacher_marks,total_marks
Describe properties of sound.,"Sound has properties like pitch (high or low), loudness (volume), and speed (depends on medium).","Sound can be high or low, loud or soft, and it travels at different speeds.",3,5
Describe different layers of Earth.,"Earth has 3 main layers: crust (outer), mantle (middle), and core (inner).","The Earth has layers, like the outside part where we live, and then a middle and an inside part.",3,5
Define ecosystem with examples.,An ecosystem is a community of living and nonliving things. Example: forest or pond ecosystem.,"An ecosystem is like a neighborhood where all living and nonliving things live together, like a forest or a pond.",5,5
Explain blood components and functions.,"Blood has red cells (carry oxygen), white cells (fight infection), platelets (help clot), and plasma. Blood has different parts: red parts that carry air, white parts that fight sickness, and other parts that help stop bleeding.",  ,0,5
Define energy and list forms.,"Energy is the ability to do work. Forms include heat, light, sound, electrical, and mechanical energy.",Energy is what makes things move and work.,2,5
Define density and give formula.,Density is how much mass is in a volume. Formula: Density = Mass  Volume.,"Density is how much stuff is packed into something, like how heavy something is for its size.",3,5
Explain function of lungs.,Lungs help us breathe by taking in oxygen and removing carbon dioxide from our body.,Our lungs help us breathe in good air and breathe out bad air.,3,5
Explain greenhouse effect and its impact.,"The greenhouse effect traps heat in Earths atmosphere, warming the planet. Too much causes global warmi","The greenhouse effect is like a blanket around Earth that keeps it warm. But if it gets too thick, it makes the Earth too hot.",3,5
Explain electrical safety in home.,"Electrical safety includes not touching sockets with wet hands, using insulated wires, and switching off unused","Electrical safety means being careful with electricity, like not touching plugs with wet hands.",3,5
Define microorganisms used in food production.,Yeast is a microorganism used to make bread. Bacteria are used in making yogurt and cheese.,"Microorganisms are tiny living things that help make food, like yeast for bread or bacteria for yogurt.",3,5
Describe germination factors.,"Seeds need water, air, and warmth to germinate.","Seeds need water, air, and warmth to start growing.",5,5
Explain effects of deforestation.,"Deforestation causes loss of animals, soil erosion, and increases global warming.","When too many trees are cut down (deforestation), animals lose their homes, the dirt washes away, and it makes the Earth hotter.",3,5
Define moon phases and name few.,"Moon phases are changes in how the moon looks. Examples: new moon, half moon, full moon.","Moon phases are how the moon looks different in the sky, like a full moon or a half moon.",5,5
What is classification?,Classification is the process of grouping living organisms based on their similarities.,classification is wen you put organism in group base on how same they are,3,5
Name the five kingdoms of living organisms.,"Monera, Protista, Fungi, Plantae, and Animalia.","Monera, Protist, Animal, Plants",3,5
Give one difference between monocot and dicot plants.,"Monocot plants have one seed leaf, while dicots have two.",Monocots are bigger than dicots.,1,5
Why do elephants have large ears?,Elephants have large ears to help release heat and stay cool.,   ,0,5
Write one similarity between fungi and animals.,Both fungi and animals cannot make their own food.,Fungi and animal make there own food,1,5
Give an example of a vertebrate.,A lion is a vertebrate.,Dog is a vertebrate,5,5
What are microorganisms?,Microorganisms are tiny living things that cannot be seen with the naked eye.,micro organisms are small things seen with naked eye,2,5
Are all microorganisms harmful?,"No, some microorganisms are helpful and others are harmful.","No, not all microorganisms are bad. Some are usefull",5,5
Name a disease caused by a virus.,Flu is caused by a virus.,Flu is viral fever.,5,5
What is the role of bacteria in soil?,They help decompose dead matter and make the soil fertile.,They clean dead things,3,5
Name one useful role of microorganisms.,They help in making medicines and food like bread.,Used for medicine,3,5
Name two conditions needed for germination.,Water and warmth.,warm and water,5,5
Name the parts of a seed.,"Seed coat, embryo, and food store.",Coat and baby seed,2,5
What is pollination?,Pollination is the transfer of pollen from one flower to another.,Transfer of pollens in flowers,5,5
What is the role of petals in a flower?,Petals attract insects to help with pollination.,Petals are beautiful,2,5
Name one plant that has seeds with wings.,Maple tree.,Mapel,5,5
Name three types of microorganisms.,"Bacteria, viruses, and fungi are three types of microorganisms.","fungus, virus, bacteria",5,5
Are all microorganisms harmful?,"No, some are helpful, while others can cause diseases.",some are good and bad,5,5
Which microorganism is used to make yogurt?,Bacteria called Lactobacillus is used to make yogurt.,Lactobacillus,5,5
Name a disease caused by a virus.,Flu is caused by a virus.,Covid-19,5,5
What tool is used to see microorganisms?,A microscope is used to see microorganisms.,microscop,5,5
Name one helpful microorganism.,Yeast is a helpful fungus used in baking.,Yeast help make bread,5,5
What is an example of a harmful microorganism?,The Salmonella bacteria can cause food poisoning.,Salmonella,5,5
How do microorganisms spread?,"They can spread through air, water, food, and contact.","They move in water, air and touch",5,5
Which microorganism causes malaria?,"Malaria is caused by a microorganism called Plasmodium, carried by mosquitoes.",Plasmodium,5,5
Can we see bacteria with the naked eye?,"No, bacteria are too small to be seen without a microscope.",No,5,5
How can we protect ourselves from harmful microorganisms?,"By washing hands, cooking food properly, and keeping things clean.",clean hands and cook food well,5,5
What is the shape of most bacteria?,"Most bacteria are rod-shaped, spherical, or spiral.",They are rod or round,5,5
What is the function of a flower?,The function of a flower is to help the plant reproduce.,It helps plant grow,3,5
Name four main parts of a flower.,"Sepals, petals, stamens, and pistil.","Petals, stamens, sepal, pistel",5,5
What is the stamen?,Stamen is the male part of the flower that produces pollen.,It makes pollen,5,5
What is the pistil?,Pistil is the female part of the flower where seeds are formed.,It makes seed,5,5
Where is pollen made?,Pollen is made in the anther.,In anther,5,5
What is the function of the stigma?,The stigma receives pollen during pollination.,Catch the pollen,5,5
What connects the stigma to the ovary?,The style connects the stigma to the ovary.,The style,5,5
What is pollination?,Pollination is the transfer of pollen from the stamen to the pistil.,Pollen move to pistil,5,5
Why is pollination important?,Pollination is necessary for the formation of seeds and fruits.,To make seeds,5,5
Name two types of pollination.,Self-pollination and cross-pollination.,cross and self,5,5
What is self-pollination?,It is when pollen lands on the same flower or another flower of the same plant.,Pollen lands on same flower or same plant.,3,5
Name two agents of pollination.,Wind and insects.,"Wind, insects.",5,5
Which flower part makes nectar?,The base of the flower makes nectar.,Nectar is made at flower base.,5,5
What is fertilization?,Fertilization is the joining of male and female cells to form a seed.,Male and female cells combine to make seed.,5,5
Give one example of a plant that uses wind for pollination.,Grass uses wind for pollination.,Corn uses wind.,3,5
Give one example of a plant that uses insects for pollination.,Sunflower uses insects for pollination.,Rose uses insects.,3,5
Which is more common: self or cross-pollination?,Cross-pollination is more common in nature.,Cross-pollination happens more.,5,5
Why do some plants have small or no petals?,Wind-pollinated plants often have small or no petals.,Wind plants don't need big petals.,3,5
What is a fruit?,A fruit is a mature ovary containing seeds.,Fruit is a grown ovary with seeds.,5,5
Name two types of reproduction in plants.,Sexual and asexual reproduction.,"Sexual, asexual.",5,5
Name one example of a plant that reproduces asexually.,Potato reproduces using stem tubers.,Potato uses tubers.,5,5
Which part of the flower takes part in sexual reproduction?,Stamens and pistils take part in sexual reproduction.,Stamens and pistils.,5,5
What happens after fertilization?,A seed forms and the flower may turn into a fruit.,"Seed grows, flower becomes fruit.",5,5
Why are seeds important?,They help grow new plants and store food for the embryo.,New plants grow from them.,3,5
Name three parts of a seed.,"Seed coat, embryo, and cotyledon.","Coat, embryo, cotyledon.",5,5
What is the seed coat?,The seed coat protects the seed from injury and drying.,Protects seed.,3,5
Compare gram and maize seeds.,"Gram has two cotyledons (dicot), maize has one cotyledon (monocot).","Gram: 2 cotyledons, maize: 1.",5,5
Which seed has endosperm: gram or maize?,Maize has endosperm; gram stores food in cotyledons.,Maize has it.,4,5
Which seed grows faster: gram or maize?,"It depends on conditions, but maize often germinates faster.",Maize grows faster.,4,5
How do seeds spread?,"Seeds spread by wind, water, and animals.","Wind, water, animals spread them.",5,5
Why do some seeds have wings?,To help them travel with the wind for better dispersal.,Wings help them fly in wind.,4,5
What is pollution?,Pollution is the presence of harmful substances in the environment.,Harmful stuff in environment.,4,5
Name three types of pollution.,"Air pollution, water pollution, and land pollution.","Air, water, land pollution.",5,5
What is air pollution?,Air pollution is when harmful gases and particles mix with the air.,Bad gases in air.,4,5
What is water pollution?,Water pollution is when harmful substances are added to water bodies.,Dirty things in water.,4,5
What is land pollution?,Land pollution is the contamination of the land by waste and chemicals.,Trash makes land dirty.,4,5
Give one cause of air pollution.,Smoke from factories is a cause of air pollution.,Factory smoke.,5,5
Give one cause of water pollution.,Throwing garbage and chemicals into rivers causes water pollution.,Dumping trash in rivers.,5,5
Give one cause of land pollution.,Littering and dumping non-biodegradable waste on the ground.,Throwing plastic on ground.,4,5
How does unclean water affect life?,It spreads diseases and harms aquatic animals.,Makes animals sick.,4,5
What is smog?,Smog is a mixture of smoke and fog that makes breathing difficult.,Dirty fog hard to breathe.,4,5
What gases are commonly released in air pollution?,"Carbon dioxide (CO?), carbon monoxide (CO), and sulfur dioxide (SO?).","CO2, CO, SO2.",5,5
What is the effect of carbon dioxide on the environment?,It traps heat and causes global warming.,Makes Earth hotter.,4,5
How does air pollution affect plants?,It damages leaves and reduces plant growth.,Hurts plant leaves.,4,5
How does air pollution affect animals?,It makes it hard to breathe and causes health problems.,Animals cant breathe well.,4,5
How does air pollution affect humans?,"It causes asthma, coughing, and other lung problems.",Gives people lung diseases.,4,5
How does water pollution affect fish?,"It reduces oxygen in water, which can kill fish.",Fish die from dirty water.,4,5
How does water pollution affect humans?,It causes diseases like cholera and diarrhea.,Makes people sick.,3,5
What is the role of garbage in land pollution?,Garbage pollutes the land and makes it unhealthy.,Trash makes land dirty.,5,5
What is a biodegradable material?,A material that breaks down naturally by bacteria.,Stuff that rots naturally.,4,5
What is a non-biodegradable material?,A material that does not break down easily in nature.,Stuff that wont rot.,4,5
Give one example of biodegradable waste.,Fruit peels are biodegradable.,Banana peel.,5,5
Give one example of non-biodegradable waste.,Plastic bags are non-biodegradable.,Plastic bottles.,4,5
Why is plastic harmful to the environment?,It does not break down and pollutes land and water.,"Stays forever, hurts nature.",5,5
How can non-biodegradable waste harm animals?,Animals can eat plastic and get sick or die.,Animals eat trash and die.,4,5
What is recycling?,Recycling means using waste materials again after processing.,Making old things new again.,5,5
Name one item that can be recycled.,Paper can be recycled.,Newspaper.,5,5
How can we reduce air pollution?,By planting trees and using less smoke-producing fuels.,"Grow trees, less smoke.",5,5
How can we reduce water pollution?,By not throwing garbage into rivers and lakes.,Dont dump in water.,5,5
How can we reduce land pollution?,By using dustbins and recycling waste.,"Use trash cans, recycle.",5,5
What are fossil fuels?,"Fossil fuels are energy sources like coal, oil, and gas formed from dead plants and animals.","Coal, oil from dead things.",4,5
How do fossil fuels cause pollution?,They release harmful gases when burned.,Make bad smoke when burned.,4,5
What gases are released when fossil fuels are burned?,Carbon dioxide and other greenhouse gases.,CO2 and bad gases.,4,5
What are greenhouse gases?,Gases that trap heat in Earths atmosphere.,Gases that heat Earth.,4,5
Name two greenhouse gases.,Carbon dioxide and methane.,CO2 and methane.,5,5
What is global warming?,A rise in Earths temperature due to greenhouse gases.,Earth getting hotter.,4,5
How does global warming affect Earth?,It melts glaciers and causes weather changes.,"Ice melts, weather changes.",5,5
What is the greenhouse effect?,It is the warming of Earth by trapped heat due to greenhouse gases.,Gases trap suns heat.,4,5
Why should we reduce the use of fossil fuels?,To lower pollution and save natural resources.,"Less pollution, save fuel.",5,5
What is an eco-friendly product?,A product that does not harm the environment.,Earth-safe products.,4,5
How can we be eco-friendly at home?,"By using cloth bags, saving water, and recycling.","Reuse bags, save water.",5,5
What is composting?,Turning food and garden waste into natural fertilizer.,Making dirt from food scraps.,4,5
How does composting help the environment?,It reduces waste and makes soil healthy.,"Less trash, good soil.",5,5
What happens when too much plastic is dumped in landfills?,It pollutes the land and takes hundreds of years to decompose.,Land stays dirty for years.,4,5
Why should we avoid using plastic bottles?,They are non-biodegradable and harm the environment.,Bad for Earth forever.,4,5
How can schools reduce pollution?,By teaching recycling and using dustbins properly.,Teach kids to recycle.,5,5
What is the importance of planting trees?,Trees clean the air and give us oxygen.,Trees make clean air.,5,5
What is noise pollution?,Unwanted or harmful sound that disturbs people and animals.,Too much loud noise.,4,5
Give one way to reduce noise pollution.,Reduce use of loudspeakers and honking.,Less car honking.,4,5
What is the 3Rs principle?,"Reduce, Reuse, and Recycle.","Less, Use Again, Recycle.",5,5
Why is it important to care for the environment?,To keep the Earth clean and healthy for all living things.,For clean Earth future.,4,5
What is matter?,Matter is anything that has mass and takes up space.,Stuff with weight and size.,4,5
What is an observable change in matter?,"A change that we can see, touch, or feel.",Change you can notice.,5,5
What is a physical change?,"A change in shape, size, or state without forming a new substance.",Change looks only.,4,5
What is a chemical change?,A change that forms a new substance with different properties.,Makes something new.,4,5
Give an example of a physical change.,Melting of ice.,Ice turning to water.,5,5
Give an example of a chemical change.,Burning of paper.,Paper burning to ash.,5,5
Is boiling water a physical change?,"Yes, because no new substance is formed.","Yes, just water vapor.",5,5
Is rusting of iron a chemical change?,"Yes, because a new substance (rust) is formed.","Yes, makes rust.",5,5
What is melting?,The process of changing a solid to a liquid.,Solid becomes liquid.,5,5
What is freezing?,The process of changing a liquid to a solid.,Liquid becomes solid.,5,5
What is boiling?,The process of turning a liquid into gas by heating.,Liquid to gas with heat.,5,5
What is evaporation?,The slow change of liquid into gas at any temperature.,Liquid dries to gas.,4,5
What is condensation?,The change of gas into liquid.,Gas turns to liquid.,5,5
Name three states of matter.,"Solid, liquid, gas.","Solid, liquid, gas.",5,5
Is breaking a glass a physical or chemical change?,It is a physical change.,Physical change.,5,5
What is solute?,The substance that dissolves in a liquid.,What gets dissolved.,4,5
What is solvent?,The liquid in which the solute dissolves.,What does dissolving.,4,5
What is a solution?,A mixture of solute and solvent.,Solute + solvent mix.,5,5
What is a dilute solution?,A solution with a small amount of solute.,Weak mixture.,4,5
What is a concentrated solution?,A solution with a large amount of solute.,Strong mixture.,4,5
What is decaying?,"Breaking down of substances by bacteria, a chemical change.",Rotting is chemical.,4,5
Is burning wood a chemical change?,"Yes, it forms ash and smoke.","Yes, makes new stuff.",5,5
Is dissolving salt in water a physical change?,"Yes, no new substance is formed.","Yes, still salt water.",5,5
Is cooking food a chemical change?,"Yes, new substances are formed.","Yes, changes food.",5,5
Can chemical changes be reversed?,"No, most chemical changes cannot be reversed.","No, permanent.",5,5
Can physical changes be reversed?,"Yes, many physical changes can be reversed.","Yes, can undo.",5,5
What is the difference between physical and chemical change?,"Physical change doesnt form new substances, chemical change does.",Physical: same stuff. Chemical: new stuff.,5,5
Does color change indicate a chemical change?,"Yes, it often does.","Yes, usually.",5,5
What change is observed when iron rusts?,Its color and texture change due to chemical reaction.,Gets red and flaky.,4,5
What is a reversible change?,A change that can be undone.,Can go back.,5,5
What is an irreversible change?,A change that cannot be undone.,Cant go back.,5,5
Is melting chocolate a physical change?,"Yes, it is reversible.","Yes, can re-solidify.",5,5
What happens when paper is burnt?,It turns into ash and gas ' a chemical change.,Burns to ash.,5,5
Does temperature affect chemical changes?,"Yes, heat can speed up chemical reactions.",Heat makes reactions faster.,5,5
What change happens in boiling water?,Water changes from liquid to gas ' physical change.,Water boils to steam.,5,5
Is fermentation a chemical change?,"Yes, new substances are formed.","Yes, makes new things.",5,5
Why is cutting fruit a physical change?,Because it only changes shape.,Only shape changes.,5,5
Is mixing sugar in tea a physical change?,"Yes, it is a physical change.","Yes, still sugar.",5,5
Can physical and chemical changes happen together?,"Yes, like cooking an egg.","Yes, egg cooking.",5,5
What is freezing point?,The temperature at which a liquid becomes solid.,When liquid freezes.,5,5
What is boiling point?,The temperature at which a liquid becomes gas.,When liquid boils.,5,5
Why is steam rising from hot water a physical change?,Because no new substance is formed.,Still just water.,5,5
What is crystallization?,Formation of solid crystals from a solution ' physical change.,Making crystals.,4,5
What type of change is digestion?,It is a chemical change.,Chemical change.,5,5
What is the role of energy in chemical change?,Energy is needed to break and form bonds.,Needs energy.,4,5
What happens to molecules in chemical change?,They rearrange to form new substances.,Makes new molecules.,4,5
What happens to molecules in physical change?,They stay the same but change position.,Same molecules move.,4,5
Why is heating water not a chemical change?,Because water stays the same substance.,Still water after.,5,5
Is mixing oil and water a chemical change?,"No, they do not react.","No, just mix.",5,5
What is the result of mixing baking soda and vinegar?,Gas forms ' its a chemical change.,Makes bubbles.,5,5
What is light?,Light is a form of energy that helps us see.,Energy for seeing.,5,5
What is a luminous object?,An object that produces its own light.,Makes own light.,5,5
Give two examples of luminous objects.,Sun and candle.,"Sun, bulb.",5,5
What is a non-luminous object?,An object that does not produce its own light.,produce,0,5
Give two examples of non-luminous objects.,Book and chair.,"Table, moon.",5,5
What is a transparent object?,An object that lets all light pass through.,See through clearly.,5,5
What is a translucent object?,An object that lets some light pass through.,See through blurry.,5,5
What is an opaque object?,An object that does not let any light pass through.,Cant see through.,5,5
What is reflection of light?,Bouncing back of light from a surface.,Light bounces back.,5,5
Which object reflects light the most?,A mirror reflects light the most.,Mirror best.,5,5
What is refraction of light?,Bending of light when it passes through different materials.,Light bends.,5,5
Give an example of refraction.,A straw looks bent in a glass of water.,Bent straw in water.,5,5
What is a shadow?,A dark area formed when light is blocked.,shadow,0,5
What is sound?,Sound is energy produced by vibrations.,Sound is something we hear.,3,5
What causes sound?,Vibrations of objects cause sound.,validation,0,5
How does sound travel?,"Sound travels in waves through air, water, or solids.",It flies through space.,1,5
In which material does sound travel fastest?,Sound travels fastest in solids.,In air,2,5
In which material does sound travel slowest?,Sound travels slowest in gases.,sound,0,5
What is pitch?,Pitch is how high or low a sound is.,How loud it is,2,5
What is volume?,Volume is how loud or soft a sound is.,The size of something,1,5
What is intensity of sound?,It refers to the loudness or softness of a sound.,intensity,0,5
What is noise?,Noise is an unpleasant and unwanted sound.,Any sound,3,5
What is a pleasant sound?,A sound that is soothing or musical.,Birds singing,5,5
What is an unpleasant sound?,A sound that causes irritation or discomfort.,Alarm clock,5,5
What is noise pollution?,Too much unpleasant sound in the environment.,Loud sounds everywhere,4,5
Give two sources of noise pollution.,Loudspeakers and vehicle horns.,Cars and music,4,5
How does noise pollution affect humans?,"It causes stress, headaches, and hearing loss.",Makes us deaf,3,5
How can we reduce noise pollution?,By avoiding loud sounds and using silencers.,reduce noise,0,5
Why should we not use horns unnecessarily?,To reduce noise pollution.,Theyre annoying,4,5
How can planting trees help in reducing noise?,Trees block and absorb sound.,Trees make oxygen,2,5
Can sound travel in vacuum?,"No, sound needs a medium to travel.","Yes, in space",1,5
Why can we see lightning before we hear thunder?,Because light travels faster than sound.,Light is brighter,2,5
What is echo?,Echo is the reflection of sound.,When sound comes back,4,5
Where are echoes heard clearly?,In empty halls or mountains.,In caves,4,5
What is the speed of sound in air?,Around 343 meters per second.,Very fast,1,5
What is the speed of light?,"About 300,000 kilometers per second.",km,0,5
What helps us hear sound?,Our ears and eardrum help us hear.,Our brain,3,5
What is the source of natural light?,The Sun is the natural source of light.,The Moon,1,5
Name two artificial sources of light.,Electric bulb and torch.,Fire and stars,2,5
What happens when light hits a mirror?,It reflects back.,It disappears,1,5
How does a lens work?,It bends light to form images.,It makes things bigger,3,5
What is vibration?,Vibration is a back-and-forth movement.,Shaking,4,5
What is a prism?,A prism splits white light into different colors.,A triangle glass,3,5
How does light help plants?,It helps in photosynthesis.,Makes them green,3,5
What is a periscope?,An optical device to see over or around things.,A telescope,2,5
What is a ray of light?,A straight line path taken by light.,A sunbeam,4,5
What is the effect of too much sound on sleep?,It disturbs sleep and causes tiredness.,Keeps you awake,5,5
What should we do to avoid noise in class?,Speak softly and avoid shouting.,Be quiet,4,5
Can light bend?,"Yes, light bends during refraction.",No,1,5
Is laser a form of light?,"Yes, it is a focused beam of light.","No, its heat",1,5
What is electricity?,Electricity is a form of energy caused by moving electrons.,Power in wires,3,5
What is static electricity?,Static electricity is the build-up of electric charge on a surface.,built_up,0,5
How is static electricity produced?,By rubbing two different materials together.,From batteries,1,5
Give an example of static electricity.,Rubbing a balloon on hair makes it stick to the wall.,Lightning,3,5
What is electric charge?,A property of matter that causes it to experience a force when near other charges.,matter,0,5
What are the types of electric charges?,Positive and negative.,Big and small,1,5
What happens when opposite charges meet?,They attract each other.,They explode,1,5
What happens when like charges meet?,They repel each other.,They stick,1,5
What are the properties of charges?,"Opposite charges attract, like charges repel, and charges can move.",They shock you,1,5
What causes electric charge?,Movement or transfer of electrons.,electrons,0,5
What is electric current?,The flow of electric charge (electrons) in a circuit.,Fast electricity,2,5
What unit is used to measure electric current?,Ampere (A).,Volts,1,5
What is needed to make electric current flow?,A closed circuit and a power source.,Wires,3,5
What is an electric circuit?,A path through which electric current flows.,Path for electric,4,5
What is a simple circuit?,"A basic circuit with a battery, bulb, and wire.",Battery bulb wire,3,5
What is an open circuit?,A circuit that is broken or not complete; current cannot flow.,    ,0,5
What is a closed circuit?,A complete circuit where electricity flows freely.,Circuit work good,2,5
What are the main parts of an electric circuit?,"Battery, wires, switch, and bulb or load.",Battery wire bulb,4,5
What is the role of a switch in a circuit?,It opens or closes the circuit.,Turn on off,3,5
What is a conductor?,A material that allows electricity to flow through it.,Let electric go,3,5
Give two examples of conductors.,Copper and aluminum.,  ,0,5
What is an insulator?,A material that does not allow electricity to flow through it.,Stop electric,3,5
